index,TARGET
0,0.05583973950199314
1,0.04304363875652357
2,0.027360490370867366
3,0.04509229930632636
4,0.014433751293928838
5,0.05096094786458913
6,0.09518383857453902
7,0.05648089300593177
8,0.07867676213328699
9,0.0942396353943224
10,0.16399987606252542
11,0.5383153647881423
12,0.30082132313530185
13,0.12632549949665103
14,0.11825307580458072
15,0.17943321288097358
16,0.2823360396366251
17,0.13626101740134608
18,0.20833430192229443
19,0.13722643099559667
20,0.047256428792824816
21,0.06616857890667283
22,0.2289503778125651
23,0.14724472196808389
24,0.08591944002187753
25,0.08566817316407695
26,0.0969351336090612
27,0.07988230925673061
28,0.06837158450007329
29,0.0688640881808105
30,0.18898303761037824
31,0.1731909179114969
32,0.37643899374514034
33,0.0758140249355782
34,0.07487158050651617
35,0.06489354371460801
36,0.14579577986683964
37,0.07027600658798568
38,0.010357010945197722
39,0.10764901714518726
40,0.040353252623728096
41,0.300938043541346
42,0.21004148321043023
43,0.08718999738831842
44,0.04660110610788415
45,0.14174517934334677
46,0.02193907840240889
47,0.017843488314675155
48,0.1357922469614957
49,0.031411597799466354
50,0.12706148458443373
51,0.17699294195175153
52,0.3090057712667029
53,0.1905792515370281
54,0.3457726287512507
55,0.20406415869304387
56,0.44234967706258854
57,0.7230131806191205
58,0.8632854656340292
59,0.8505982823524996
60,0.5067683967090348
61,0.268609144225548
62,0.3110862616280332
63,0.05440310337584471
64,0.04845753719996967
65,0.030278904483785344
66,0.04464153725855417
67,0.17848101302079084
68,0.09422466721935505
69,0.04023441443422778
70,0.06214840658351331
71,0.009973328918594645
72,0.008491759589867656
73,0.033947517836947584
74,0.03558557876758885
75,0.013550927508545647
76,0.02576875279390036
77,0.027202476130865474
78,0.08727257639817587
79,0.06825829724170679
80,0.39397159787601677
81,0.2063148463689701
82,0.024960809597154257
83,0.00621516688275733
84,0.004470193619155598
85,0.009097252866563404
86,0.009188603597593452
87,0.012757235652504084
88,0.014387191885908403
89,0.026914154299536756
90,0.07930148239613029
91,0.09899296509557075
92,0.0905830074943911
93,0.1536311943908663
94,0.11376831416488833
95,0.05203949211532363
96,0.03887434269745141
97,0.10944606150264859
98,0.04766234884614741
99,0.02586567802002024
100,0.04509250741901426
101,0.04442148776835606
102,0.036639577229387654
103,0.07222245389415433
104,0.1126861404387609
105,0.3898737184466683
106,0.11576970213672379
107,0.37739978415562603
108,0.7274916792731454
109,0.5558028096628362
110,0.05655924439969355
111,0.005801712859458405
112,0.016023109978346543
113,0.029202332587823683
114,0.009878757591414697
115,0.01783794657524257
116,0.03288540636503288
117,0.049254918735089
118,0.23820113332663506
119,0.020648212756728707
